movie_title,hero_gender,hero_gender2,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Snow White and the Seven Dwarfs,female,2,21-Dec-37,Musical,G,184925485,5228953251
Pinocchio,male,1,9-Feb-40,Adventure,G,84300000,2188229052
Fantasia,male,1,13-Nov-40,Musical,G,83320000,2187090808
Song of the South,female,2,12-Nov-46,Adventure,G,65000000,1078510579
Cinderella,female,2,15-Feb-50,Drama,G,85000000,920608730
"20,000 Leagues Under the Sea",male,1,23-Dec-54,Adventure,,28200000,528279994
Lady and the Tramp,female,2,22-Jun-55,Drama,G,93600000,1236035515
Sleeping Beauty,female,2,29-Jan-59,Drama,,9464608,21505832
101 Dalmatians,male,1,25-Jan-61,Comedy,G,153000000,1362870985
The Absent Minded Professor,male,1,16-Mar-61,Comedy,,25381407,310094574
Babes in Toyland,female,2,14-Dec-61,Musical,G,10218316,124841160
Bon Voyage!,male,1,17-May-62,Comedy,Not Rated,9230769,109581646
The Sword in the Stone,male,1,25-Dec-63,Adventure,,22182353,153870834
The Jungle Book,male,1,18-Oct-67,Musical,Not Rated,141843000,789612346
Blackbeard's Ghost,male,1,8-Feb-68,Comedy,,21540050,138612686
The Aristocats,male,1,24-Apr-70,Musical,G,55675257,255161499
The Boatniks,female,2,1-Jul-70,Comedy,,18607492,101200742
Bedknobs and Broomsticks,female,2,7-Oct-71,Musical,,17871174,91305448
The Apple Dumpling Gang,female,2,1-Jul-75,Comedy,,31916500,131246872
Freaky Friday,male,1,21-Jan-77,Comedy,,25942000,98067733
The Many Adventures of Winnie the Pooh,male,1,11-Mar-77,,,0,0
The Rescuers,male,1,22-Jun-77,Adventure,,48775599,159743914
Herbie Goes to Monte Carlo,male,1,24-Jun-77,,,28000000,105847527
The Black Hole,male,1,21-Dec-79,,,35841901,120377374
Midnight Madness,female,2,8-Feb-80,,,2900000,9088096
The Last Flight of Noah’s Ark,male,1,25-Jun-80,,,11000000,34472116
The Devil and Max Devlin,male,1,1-Jan-81,,,16000000,48517980
Amy,female,2,20-Mar-81,Drama,,0,0
The Fox and the Hound,male,1,10-Jul-81,Comedy,,43899231,133118889
Condorman,male,1,7-Aug-81,Action,,0,0
Night Crossing,female,2,5-Feb-82,Drama,,4500000,12903059
Tron,male,1,9-Jul-82,Action,,26918576,77184895
Tex,male,1,19-Nov-82,Drama,,7199408,20643199
Trenchcoat,female,2,11-Mar-83,Comedy,,4304286,11519089
Something Wicked This Way Comes,male,1,29-Apr-83,Horror,,5656087,15136765
Never Cry Wolf,male,1,7-Oct-83,Drama,,27668764,70669955
Running Brave,male,1,4-Nov-83,Drama,,1204595,3223725
Splash,male,1,9-Mar-84,Comedy,PG,62599495,157057661
Country,male,1,29-Sep-84,Drama,,8400000,21075000
Baby: Secret of the Lost Legend,male,1,22-Mar-85,Adventure,,14276095,33900697
Return to Oz,female,2,21-Jun-85,Adventure,,10618813,25215934
The Black Cauldron,male,1,24-Jul-85,Adventure,,21288692,50553142
My Science Project,male, ,9-Aug-85,Comedy,,4100000,9736051
The Journey of Natty Gann,female,2,27-Sep-85,Drama,,9468512,22302956
One Magic Christmas,male,1,22-Nov-85,Drama,,13229514,31415432
Down and Out in Beverly Hills,female,2,31-Jan-86,Comedy,R,62134225,141183693
Off Beat,male,1,11-Apr-86,Comedy,,4842778,11003932
Ruthless People,female,2,27-Jun-86,Comedy,R,71624879,162748712
The Great Mouse Detective,male,1,2-Jul-86,Adventure,,23605534,53637367
Flight of the Navigator,male,1,30-Jul-86,Adventure,,18564613,42183197
Tough Guys,male,1,3-Oct-86,Comedy,,21458229,48758184
The Color of Money,male,1,17-Oct-86,Drama,R,52293000,117957323
Outrageous Fortune,male,1,30-Jan-87,Comedy,R,52864741,113976921
Tin Men,male,1,6-Mar-87,Comedy,,25411386,54787202
Ernest Goes to Camp,male,1,22-May-87,Comedy,,23509382,50686462
Benji the Hunted,male,1,5-Jun-87,Adventure,,15212539,32798382
Adventures in Babysitting,female,2,3-Jul-87,Comedy,,33790923,72853569
Stakeout,male,1,5-Aug-87,Comedy,R,65673233,141592160
Can't Buy Me Love,female,2,14-Aug-87,Romantic Comedy,,31623833,68181300
Hello Again,female,2,6-Nov-87,Comedy,,20419446,44024529
3 Men and a Baby,male,1,25-Nov-87,Comedy,PG,167780960,353334607
Good Morning Vietnam,male,1,23-Dec-87,Comedy,R,123922370,254414837
Shoot to Kill,male,1,12-Feb-88,Action,,29300000,60097074
D.O.A.,male,1,18-Mar-88,Thriller/Suspense,,12706478,26062188
Return to Snowy River,female,2,15-Apr-88,Adventure,PG,13687027,28073384
Big Business,male,1,10-Jun-88,Comedy,PG,40150487,82352451
Who Framed Roger Rabbit?,male,1,22-Jun-88,Comedy,PG,154112492,316250084
Cocktail,female,2,29-Jul-88,Drama,R,78222753,160442289
The Rescue,male,1,5-Aug-88,Action,,5855392,12009960
Heartbreak Hotel,female,2,30-Sep-88,Comedy,,5509417,11300331
The Good Mother,female,2,4-Nov-88,Drama,,4764606,9772655
Ernest Saves Christmas,male,1,11-Nov-88,Comedy,PG,28202109,57845202
Oliver & Company,male,1,18-Nov-88,Adventure,G,49576671,102254492
Beaches,female,2,21-Dec-88,Drama,PG-13,57041866,120381757
Three Fugitives,male,1,27-Jan-89,Comedy,PG-13,40590000,85757817
New York Stories,male,1,1-Mar-89,Drama,PG,10763469,22740861
Disorganized Crime,male,1,14-Apr-89,Comedy,,7210149,15233465
Dead Poets Society,male,1,2-Jun-89,Drama,PG,95860116,202531517
"Honey, I Shrunk the Kids",male,1,23-Jun-89,Adventure,PG,130724172,276191669
Turner & Hooch,male,1,28-Jul-89,Comedy,PG,71079915,150176361
Cheetah,male,1,18-Aug-89,Adventure,,7882250,16653473
An Innocent Man,male,1,6-Oct-89,Drama,R,19397847,40983414
Gross Anatomy,female,2,20-Oct-89,Drama,PG-13,11346186,23972012
The Little Mermaid,female,2,15-Nov-89,Adventure,G,111543479,223726012
