movie_title,hero_gender,hero_gender2,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Snow White and the Seven Dwarfs,female,2,21-Dec-37,Musical,G,184925485.00,5228953251.00
Pinocchio,male,1,9-Feb-40,Adventure,G,84300000.00,2188229052.00
Fantasia,male,1,13-Nov-40,Musical,G,83320000.00,2187090808.00
Song of the South,female,2,12-Nov-46,Adventure,G,65000000.00,1078510579.00
Cinderella,female,2,15-Feb-50,Drama,G,85000000.00,920608730.00
"20,000 Leagues Under the Sea",male,1,23-Dec-54,Adventure,,28200000.00,528279994.00
Lady and the Tramp,female,2,22-Jun-55,Drama,G,93600000.00,1236035515.00
Sleeping Beauty,female,2,29-Jan-59,Drama,,9464608.00,21505832.00
101 Dalmatians,male,1,25-Jan-61,Comedy,G,153000000.00,1362870985.00
The Absent Minded Professor,male,1,16-Mar-61,Comedy,,25381407.00,310094574.00
Babes in Toyland,female,2,14-Dec-61,Musical,G,10218316.00,124841160.00
Bon Voyage!,male,1,17-May-62,Comedy,Not Rated,9230769.00,109581646.00
The Sword in the Stone,male,1,25-Dec-63,Adventure,,22182353.00,153870834.00
The Jungle Book,male,1,18-Oct-67,Musical,Not Rated,141843000.00,789612346.00
Blackbeard's Ghost,male,1,8-Feb-68,Comedy,,21540050.00,138612686.00
The Aristocats,male,1,24-Apr-70,Musical,G,55675257.00,255161499.00
The Boatniks,female,2,1-Jul-70,Comedy,,18607492.00,101200742.00
Bedknobs and Broomsticks,female,2,7-Oct-71,Musical,,17871174.00,91305448.00
The Apple Dumpling Gang,female,2,1-Jul-75,Comedy,,31916500.00,131246872.00
Freaky Friday,male,1,21-Jan-77,Comedy,,25942000.00,98067733.00
The Many Adventures of Winnie the Pooh,male,1,11-Mar-77,,,0.00,0.00
The Rescuers,male,1,22-Jun-77,Adventure,,48775599.00,159743914.00
Herbie Goes to Monte Carlo,male,1,24-Jun-77,,,28000000.00,105847527.00
The Black Hole,male,1,21-Dec-79,,,35841901.00,120377374.00
Midnight Madness,female,2,8-Feb-80,,,2900000.00,9088096.00
The Last Flight of Noah’s Ark,male,1,25-Jun-80,,,11000000.00,34472116.00
The Devil and Max Devlin,male,1,1-Jan-81,,,16000000.00,48517980.00
Amy,female,2,20-Mar-81,Drama,,0.00,0.00
The Fox and the Hound,male,1,10-Jul-81,Comedy,,43899231.00,133118889.00
Condorman,male,1,7-Aug-81,Action,,0.00,0.00
Night Crossing,female,2,5-Feb-82,Drama,,4500000.00,12903059.00
Tron,male,1,9-Jul-82,Action,,26918576.00,77184895.00
Tex,male,1,19-Nov-82,Drama,,7199408.00,20643199.00
Trenchcoat,female,2,11-Mar-83,Comedy,,4304286.00,11519089.00
Something Wicked This Way Comes,male,1,29-Apr-83,Horror,,5656087.00,15136765.00
Never Cry Wolf,male,1,7-Oct-83,Drama,,27668764.00,70669955.00
Running Brave,male,1,4-Nov-83,Drama,,1204595.00,3223725.00
Splash,male,1,9-Mar-84,Comedy,PG,62599495.00,157057661.00
Country,male,1,29-Sep-84,Drama,,8400000.00,21075000.00
Baby: Secret of the Lost Legend,male,1,22-Mar-85,Adventure,,14276095.00,33900697.00
Return to Oz,female,2,21-Jun-85,Adventure,,10618813.00,25215934.00
The Black Cauldron,male,1,24-Jul-85,Adventure,,21288692.00,50553142.00
My Science Project,ale, ,9-Aug-85,Comedy,,4100000.00,9736051.00
The Journey of Natty Gann,female,2,27-Sep-85,Drama,,9468512.00,22302956.00
One Magic Christmas,male,1,22-Nov-85,Drama,,13229514.00,31415432.00
Down and Out in Beverly Hills,female,2,31-Jan-86,Comedy,R,62134225.00,141183693.00
Off Beat,male,1,11-Apr-86,Comedy,,4842778.00,11003932.00
Ruthless People,female,2,27-Jun-86,Comedy,R,71624879.00,162748712.00
The Great Mouse Detective,male,1,2-Jul-86,Adventure,,23605534.00,53637367.00
Flight of the Navigator,male,1,30-Jul-86,Adventure,,18564613.00,42183197.00
Tough Guys,male,1,3-Oct-86,Comedy,,21458229.00,48758184.00
The Color of Money,male,1,17-Oct-86,Drama,R,52293000.00,117957323.00
Outrageous Fortune,male,1,30-Jan-87,Comedy,R,52864741.00,113976921.00
Tin Men,male,1,6-Mar-87,Comedy,,25411386.00,54787202.00
Ernest Goes to Camp,male,1,22-May-87,Comedy,,23509382.00,50686462.00
Benji the Hunted,male,1,5-Jun-87,Adventure,,15212539.00,32798382.00
Adventures in Babysitting,female,2,3-Jul-87,Comedy,,33790923.00,72853569.00
Stakeout,male,1,5-Aug-87,Comedy,R,65673233.00,141592160.00
Can't Buy Me Love,female,2,14-Aug-87,Romantic Comedy,,31623833.00,68181300.00
Hello Again,female,2,6-Nov-87,Comedy,,20419446.00,44024529.00
3 Men and a Baby,male,1,25-Nov-87,Comedy,PG,167780960.00,353334607.00
Good Morning Vietnam,male,1,23-Dec-87,Comedy,R,123922370.00,254414837.00
Shoot to Kill,male,1,12-Feb-88,Action,,29300000.00,60097074.00
D.O.A.,male,1,18-Mar-88,Thriller/Suspense,,12706478.00,26062188.00
Return to Snowy River,female,2,15-Apr-88,Adventure,PG,13687027.00,28073384.00
Big Business,male,1,10-Jun-88,Comedy,PG,40150487.00,82352451.00
Who Framed Roger Rabbit?,male,1,22-Jun-88,Comedy,PG,154112492.00,316250084.00
Cocktail,female,2,29-Jul-88,Drama,R,78222753.00,160442289.00
The Rescue,male,1,5-Aug-88,Action,,5855392.00,12009960.00
Heartbreak Hotel,female,2,30-Sep-88,Comedy,,5509417.00,11300331.00
The Good Mother,female,2,4-Nov-88,Drama,,4764606.00,9772655.00
Ernest Saves Christmas,male,1,11-Nov-88,Comedy,PG,28202109.00,57845202.00
Oliver & Company,male,1,18-Nov-88,Adventure,G,49576671.00,102254492.00
Beaches,female,2,21-Dec-88,Drama,PG-13,57041866.00,120381757.00
Three Fugitives,male,1,27-Jan-89,Comedy,PG-13,40590000.00,85757817.00
New York Stories,male,1,1-Mar-89,Drama,PG,10763469.00,22740861.00
Disorganized Crime,male,1,14-Apr-89,Comedy,,7210149.00,15233465.00
Dead Poets Society,male,1,2-Jun-89,Drama,PG,95860116.00,202531517.00
"Honey, I Shrunk the Kids",male,1,23-Jun-89,Adventure,PG,130724172.00,276191669.00
Turner & Hooch,male,1,28-Jul-89,Comedy,PG,71079915.00,150176361.00
Cheetah,male,1,18-Aug-89,Adventure,,7882250.00,16653473.00
An Innocent Man,male,1,6-Oct-89,Drama,R,19397847.00,40983414.00
Gross Anatomy,female,2,20-Oct-89,Drama,PG-13,11346186.00,23972012.00
The Little Mermaid,female,2,15-Nov-89,Adventure,G,111543479.00,223726012.00
Blaze,male,1,13-Dec-89,Drama,R,19049727.00,39884640.00
Stella,female,2,2-Feb-90,Drama,PG-13,20062347.00,40077147.00
Where the Heart Is,female,2,23-Feb-90,Comedy,,1106475.00,2210321.00
